@relation openjpa_Train_R2-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
0.9.0,6,3,1,0,0,0,0,1,37,1,2,3,false
0.9.0,1,1,0,0,0,0,2,0,45,2,5,0,false
0.9.0,1,1,0,0,0,0,3,0,45,1,4,0,false
0.9.0,3,1,0,0,0,0,0,1,37,2,5,0,false
0.9.0,3,1,0,0,0,0,1,1,45,3,13,0,false
0.9.0,3,1,0,0,0,0,0,1,45,2,7,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,4,0,false
0.9.0,4,3,1,0,0,2,0,1,0,2,6,0,false
0.9.0,9,6,3,0,0,2,1,3,45,3,8,0,false
0.9.0,20,8,14,11,0,3,2,1,0,1,6,0,false
0.9.0,3,1,0,0,0,0,0,1,37,2,4,0,false
0.9.0,3,1,0,0,0,1,1,1,37,2,4,0,false
0.9.0,3,1,1,0,0,0,1,0,45,2,6,0,false
0.9.0,1,1,0,0,0,0,3,0,37,2,3,0,false
0.9.0,1,1,0,0,0,0,1,0,0,1,4,0,false
0.9.0,3,1,1,0,0,0,2,0,45,1,4,0,false
0.9.0,6,2,2,0,0,1,0,4,0,1,7,0,false
0.9.0,3,1,1,0,0,0,0,0,45,1,4,0,false
0.9.0,4,2,2,0,0,0,0,0,37,2,6,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.0,9,3,3,0,0,1,0,0,0,1,5,0,false
0.9.0,3,4,0,1,0,1,3,0,37,3,3,0,false
0.9.0,8,1,0,0,1,0,0,4,0,1,8,0,false
0.9.0,3,1,1,0,0,0,2,0,37,1,2,0,false
0.9.0,4,1,1,0,0,1,18,0,45,1,4,0,false
0.9.0,4,2,2,0,0,0,1,0,37,2,6,0,false
0.9.0,3,1,0,0,0,1,0,2,45,2,7,0,false
0.9.0,8,1,0,0,0,1,1,1,45,2,4,0,false
0.9.0,9,2,6,0,0,0,0,1,37,1,2,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,3,1,0,0,0,1,1,1,0,2,13,0,false
0.9.0,4,1,0,0,0,0,0,2,37,2,2,3,false
0.9.0,3,2,0,0,0,0,0,1,45,3,13,0,false
0.9.0,3,1,0,0,0,1,1,0,0,1,5,0,false
0.9.0,15,5,5,0,0,2,0,5,45,2,6,3,false
0.9.0,3,1,0,0,0,1,29,0,45,3,13,0,false
0.9.0,3,2,0,0,0,1,16,0,45,2,6,0,false
0.9.0,3,1,0,0,0,0,0,1,45,2,7,0,false
0.9.0,13,4,4,1,1,0,0,1,0,1,6,1,false
0.9.0,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.0,3,1,0,0,0,1,0,1,45,3,13,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,7,0,false
0.9.0,3,1,0,0,0,1,0,1,0,1,5,0,false
0.9.0,1,1,0,0,0,0,6,0,0,1,6,0,false
0.9.0,5,2,1,0,0,2,9,3,45,3,8,2,false
0.9.0,1,1,0,0,0,0,8,0,45,3,8,0,false
0.9.0,7,3,3,0,0,2,2,2,37,3,6,0,false
0.9.0,9,1,1,0,1,1,1,0,45,1,4,0,false
0.9.0,20,8,6,1,0,1,2,2,37,2,5,0,false
0.9.0,3,1,0,0,0,1,0,1,37,2,4,0,false
0.9.0,4,1,0,0,0,0,1,2,45,3,13,0,false
0.9.0,3,1,0,0,0,1,1,1,45,2,10,0,false
0.9.0,3,1,0,0,0,1,2,1,45,2,4,0,false
0.9.0,1,1,0,0,0,0,1,0,45,2,7,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,5,0,false
0.9.0,4,1,0,0,0,0,0,1,37,3,6,0,false
0.9.0,3,1,0,0,0,1,0,0,45,1,5,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,4,0,false
0.9.0,9,4,7,0,0,2,1,4,37,1,2,0,false
0.9.0,3,3,0,0,0,1,0,0,45,3,13,0,false
0.9.0,8,5,1,0,0,1,3,2,37,1,2,1,false
0.9.0,3,1,0,0,0,0,0,3,45,2,7,0,false
0.9.0,13,4,5,1,0,4,0,0,45,3,11,6,false
0.9.0,3,1,0,0,0,1,0,0,37,2,5,0,false
0.9.0,3,1,1,0,0,0,2,3,45,2,6,0,false
0.9.0,1,1,0,0,0,0,1,0,37,2,2,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,8,0,false
0.9.0,3,1,1,0,0,0,0,0,37,2,4,0,false
0.9.0,3,2,0,0,0,0,0,0,37,2,3,0,false
0.9.0,3,1,0,0,0,0,0,0,45,1,3,0,false
0.9.0,2,1,0,0,0,0,0,0,37,2,4,0,false
0.9.0,18,7,0,0,0,7,1,2,0,1,6,0,false
0.9.0,3,1,0,0,0,0,0,3,45,2,7,0,false
0.9.0,3,1,1,0,0,0,0,0,45,2,5,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,2,1,0,0,0,0,0,0,37,2,3,0,false
0.9.0,3,1,0,0,0,1,0,2,37,3,9,0,false
0.9.0,3,1,0,0,0,1,9,0,0,2,9,0,false
0.9.0,5,1,0,0,0,0,0,3,45,2,4,0,false
0.9.0,5,3,0,0,0,3,3,2,0,1,6,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,7,0,false
0.9.0,8,2,0,0,1,1,0,0,0,1,5,0,false
0.9.0,3,1,0,1,0,1,0,2,0,1,7,0,false
0.9.0,3,1,0,0,0,1,0,1,37,2,4,0,false
0.9.0,3,1,0,0,0,1,1,1,37,1,2,0,false
0.9.0,8,3,1,3,0,3,1,2,37,2,6,0,false
0.9.0,11,5,2,0,0,1,0,1,37,2,6,3,false
0.9.0,3,1,0,0,0,1,6,3,37,1,2,0,false
0.9.0,3,1,0,0,0,1,0,2,45,1,5,0,false
0.9.0,4,3,1,0,0,1,5,2,45,3,8,0,false
0.9.0,3,1,0,0,0,1,0,1,37,3,6,0,false
0.9.0,21,9,0,0,0,9,4,0,45,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,45,1,3,0,false
0.9.0,6,6,0,0,0,4,0,1,45,3,6,1,false
0.9.0,4,2,0,0,0,1,2,1,45,3,11,0,false
0.9.0,4,1,0,0,0,0,0,2,37,3,6,0,false
0.9.0,212,81,61,2,0,56,12,55,45,2,8,14,false
0.9.0,1,1,0,0,0,0,2,0,45,2,7,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,45,3,6,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,3,1,0,0,0,0,0,1,0,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,5,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,2,0,false
0.9.0,23,7,5,0,1,2,0,0,45,2,8,1,false
0.9.0,4,2,2,0,0,0,0,0,37,2,6,0,false
0.9.0,3,1,0,0,0,1,0,1,37,2,3,0,false
0.9.0,1,1,0,0,0,0,0,0,45,3,6,0,false
0.9.0,3,1,0,0,0,1,0,0,45,1,7,0,false
0.9.0,3,1,0,0,0,1,2,0,45,2,6,0,false
0.9.0,23,8,0,0,2,2,0,7,45,3,11,2,false
0.9.0,3,1,0,0,0,1,23,1,37,2,3,0,false
0.9.0,2,1,0,0,0,0,1,0,45,1,4,0,false
0.9.0,5,2,0,0,0,2,0,3,45,3,11,0,false
0.9.0,1,1,0,0,0,0,1,0,45,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,45,3,11,0,false
0.9.0,1,1,0,0,0,0,0,0,45,3,8,0,false
0.9.0,3,1,0,0,0,0,0,1,37,2,4,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,5,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.0,8,3,2,0,0,0,0,2,0,1,5,0,false
0.9.0,3,1,0,0,0,1,0,1,37,2,4,0,false
0.9.0,1,1,0,0,0,0,0,0,45,3,8,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.0,5,2,3,0,0,1,1,0,37,2,3,0,false
0.9.0,4,1,1,0,0,1,0,1,45,2,4,0,false
