@relation openjpa_Train_R3-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.6,0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
0.9.6,3,1,0,0,0,0,0,3,185,2,3,0,true
0.9.0,109,71,15,0,1,10,4,4,45,1,5,0,false
0.9.6,3,1,0,0,0,1,0,0,185,3,10,0,false
0.9.0,3,1,0,0,0,0,0,3,45,2,7,0,false
0.9.0,2,1,0,0,0,0,0,0,37,2,2,0,false
0.9.6,3,2,0,0,0,0,0,0,185,1,1,0,false
0.9.0,7,6,1,0,0,4,0,1,45,2,5,0,false
0.9.0,3,1,0,0,0,0,0,1,37,2,5,0,false
0.9.6,6,3,3,0,0,0,0,0,168,2,6,0,false
0.9.6,2,1,0,0,0,0,0,0,168,1,2,0,false
0.9.6,27,9,12,3,0,0,4,6,94,4,7,9,false
0.9.6,3,2,0,0,0,0,1,0,168,1,1,0,false
0.9.6,3,1,0,0,0,0,0,0,168,3,5,0,false
0.9.0,3,1,0,0,0,0,0,1,37,2,4,0,false
0.9.0,3,1,0,0,0,1,1,1,37,2,4,0,false
0.9.0,1,1,0,0,0,0,3,0,37,2,3,0,false
0.9.0,1,1,0,0,0,0,1,0,0,1,4,0,false
0.9.0,3,1,1,0,0,0,0,0,45,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.6,8,8,4,1,0,1,1,6,185,1,1,1,false
0.9.6,1,1,0,0,0,0,4,0,185,2,2,0,true
0.9.0,8,1,0,0,1,0,0,4,0,1,8,0,false
0.9.6,3,1,1,0,0,0,3,0,168,1,1,0,false
0.9.6,3,1,0,0,0,1,1,0,185,1,1,0,false
0.9.6,3,1,0,0,0,1,0,0,185,1,1,0,false
0.9.6,23,6,4,1,1,2,2,5,185,2,4,2,false
0.9.6,3,1,1,0,0,0,0,0,185,2,4,0,false
0.9.0,3,1,0,0,0,1,0,2,45,2,7,0,false
0.9.0,8,1,0,0,0,1,1,1,45,2,4,0,false
0.9.6,3,2,0,0,0,1,0,0,168,1,1,1,false
0.9.6,10,2,0,0,1,1,0,5,185,4,19,0,true
0.9.6,3,1,0,0,0,0,0,0,185,1,1,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,5,0,false
0.9.6,5,2,1,0,0,2,3,1,185,3,9,0,false
0.9.0,3,1,0,0,0,1,1,1,0,2,13,0,false
0.9.6,3,1,0,0,0,1,0,0,185,2,5,0,false
0.9.6,21,8,6,0,0,1,1,5,185,3,6,1,true
0.9.0,3,2,0,0,0,1,16,0,45,2,6,0,false
0.9.6,3,1,1,0,0,0,0,0,168,1,1,0,false
0.9.0,3,1,0,0,0,0,0,1,45,2,7,0,false
0.9.6,11,5,8,0,0,0,0,1,168,2,5,0,true
0.9.6,10,2,2,0,0,2,0,0,185,1,1,5,false
0.9.6,3,1,1,0,0,0,0,0,94,2,2,0,false
0.9.6,42,22,16,0,0,1,0,15,185,3,6,0,true
