Classifier,feature selection,sampling,cost sensitive,feature selection id,precision,recall,auc,kappa
mlp,true,false,true,FS_R8_1,0.30894992272862837,0.9796251719394773,0.6564007658614269,0.17822440250828475
mlp,true,false,true,FS_R9_1,0.30986051683709237,0.9969666329625885,0.6311235100114175,0.15055430664309735
mlp,true,false,false,FS_R10_1,0.6964454976303317,0.40451448627073155,0.793167588339693,0.4052810897080136
mlp,true,false,false,FS_R11_1,0.7620478157466516,0.35209068301428487,0.8129634933582479,0.37792012822885956
mlp,true,false,true,FS_R10_1,0.32282375033974947,0.8991122427912738,0.6457202012182534,0.18158378418570947
mlp,true,false,true,FS_R9_1,0.3020138970674832,0.9972777475305281,0.617330486602076,0.13256273305531568
mlp,true,false,false,FS_R12_1,0.7356578147172106,0.3489926431696879,0.7873018037848434,0.35767050879979717
mlp,true,false,true,FS_R11_1,0.3814695358564733,0.8755421895783934,0.6834085813182524,0.25913799062128146
mlp,true,false,true,FS_R9_1,0.3069655916556768,0.9957221746908299,0.625946117069789,0.14388317783104335
mlp,true,false,true,FS_R10_1,0.3380081248221078,0.8989746060147271,0.6658509393709999,0.21229589984053726
mlp,true,false,true,FS_R12_1,0.37110099137583624,0.8855604173678896,0.6509795355351041,0.2121089701390658
mlp,true,false,true,FS_R10_1,0.30653927813163484,0.9935998898905788,0.6346935147900787,0.15309581067612976
mlp,true,false,true,FS_R11_1,0.37199026061863105,0.9542536579723555,0.6884755813694987,0.25093643431933954
mlp,true,false,true,FS_R11_1,0.30433862433862435,0.997975825573998,0.5902587409391999,0.10427214616142658
mlp,true,false,true,FS_R12_1,0.3888457133507853,0.914218396884166,0.6777243816881563,0.25158307340105457
mlp,true,false,true,FS_R12_1,0.3936707020786179,0.9115737846804828,0.6827969895728517,0.2607677780221852
sgd,true,false,false,FS_R4_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R4_1,NaN,0.0,0.5,0.0
sgd,true,false,false,FS_R5_1,NaN,0.0,0.5,0.0
