release,class,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl/java.java,isRemoved/1[java.lang.Object],org.apache.openjpa.persistence.EntityManagerImpl.isRemoved/1[java.lang.Object],4,1,0,0,0,1,0,1,1228,5,13,0,false
0.9.0,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCStoreManager/java/java.java,"load/4[org.apache.openjpa.jdbc.kernel.ClassMapping,org.apache.openjpa.jdbc.kernel.OpenJPAStateManager,org.apache.openjpa.jdbc.kernel.JDBCFetchState,org.apache.openjpa.jdbc.kernel.Result]","org.apache.openjpa.jdbc.kernel.JDBCStoreManager.load/4[org.apache.openjpa.jdbc.kernel.ClassMapping,org.apache.openjpa.jdbc.kernel.OpenJPAStateManager,org.apache.openjpa.jdbc.kernel.JDBCFetchState,org.apache.openjpa.jdbc.kernel.Result]",5,5,1,0,0,0,2,2,281,1,1,1,false
1.0.0,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl/java.java,"initialize/4[org.apache.openjpa.kernel.StateManagerImpl,boolean,org.apache.openjpa.kernel.FetchConfiguration,java.lang.Object]","org.apache.openjpa.kernel.BrokerImpl.initialize/4[org.apache.openjpa.kernel.StateManagerImpl,boolean,org.apache.openjpa.kernel.FetchConfiguration,java.lang.Object]",16,4,1,0,1,2,1,5,600,0,0,1,true
2.0.0-M2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMappingInfo/java.java,"populate/7[org.apache.openjpa.jdbc.meta.Table,org.apache.openjpa.jdbc.meta.Table,org.apache.openjpa.jdbc.schema.Column,java.lang.Object,boolean,int,int]",".populate/7[org.apache.openjpa.jdbc.meta.Table,org.apache.openjpa.jdbc.meta.Table,org.apache.openjpa.jdbc.schema.Column,java.lang.Object,boolean,int,int]",3,1,0,0,0,0,0,2,1211,1,2,2,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener/java.java,"newSQLBuffer/4[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.kernel.exps.JDBCStore,java.lang.Object[],org.apache.openjpa.jdbc.kernel.exps.JDBCFetchConfiguration]","org.apache.openjpa.jdbc.kernel.exps.Aggregate.newSQLBuffer/4[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.kernel.exps.JDBCStore,java.lang.Object[],org.apache.openjpa.jdbc.kernel.exps.JDBCFetchConfiguration]",7,1,1,0,0,1,3,3,1211,0,0,0,false
1.2.1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataSerializer/java.java,serializeSystemMappingElement/1[java.lang.Object],org.apache.openjpa.persistence.AnnotationPersistenceMetaDataSerializer.serializeSystemMappingElement/1[java.lang.Object],2,1,0,0,0,0,1,0,885,0,0,0,false
1.0.2,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl/java.java,setLargeTransaction/1[boolean],org.apache.openjpa.persistence.EntityManagerImpl.setLargeTransaction/1[boolean],3,1,0,0,0,0,0,2,1228,5,13,0,false
2.0.0-M1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DataSourceFactory/java.java,closeDataSource/1[javax.sql.DataSource],org.apache.openjpa.jdbc.schema.DataSourceFactory.closeDataSource/1[javax.sql.DataSource],4,2,1,0,0,0,0,0,1211,1,1,0,false
1.0.3,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/ResultSetResult/java.java,"getByteInternal/2[java.lang.Object,org.apache.openjpa.jdbc.sql.Joins]","org.apache.openjpa.jdbc.sql.ResultSetResult.getByteInternal/2[java.lang.Object,org.apache.openjpa.jdbc.sql.Joins]",3,1,0,0,0,1,1,1,1211,4,5,0,false
1.0.1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationRelationMapTableFieldStrategy/java/java.java,"joinKeyRelation/2[org.apache.openjpa.jdbc.meta.strats.Joins,org.apache.openjpa.jdbc.meta.ClassMapping]","org.apache.openjpa.jdbc.meta.strats.RelationRelationMapTableFieldStrategy.joinKeyRelation/2[org.apache.openjpa.jdbc.meta.strats.Joins,org.apache.openjpa.jdbc.meta.ClassMapping]",4,1,1,0,0,1,1,0,701,1,3,2,false
1.2.1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceMetaDataParser/java.java,"parseEntityListeners/2[org.apache.openjpa.meta.ClassMetaData,org.apache.openjpa.persistence.EntityListeners]","org.apache.openjpa.persistence.AnnotationPersistenceMetaDataParser.parseEntityListeners/2[org.apache.openjpa.meta.ClassMetaData,org.apache.openjpa.persistence.EntityListeners]",6,2,3,0,0,1,1,4,1228,4,7,0,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager/java/java.java,"populateRowManager/5[org.apache.openjpa.jdbc.kernel.OpenJPAStateManager,org.apache.openjpa.jdbc.sql.RowManager,org.apache.openjpa.jdbc.kernel.JDBCStore,java.util.Collection,java.util.Collection]","org.apache.openjpa.jdbc.kernel.AbstractUpdateManager.populateRowManager/5[org.apache.openjpa.jdbc.kernel.OpenJPAStateManager,org.apache.openjpa.jdbc.sql.RowManager,org.apache.openjpa.jdbc.kernel.JDBCStore,java.util.Collection,java.util.Collection]",27,11,4,0,1,1,1,8,1211,0,0,0,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer/java/java.java,XMLSchemaSerializer/1[org.apache.openjpa.jdbc.conf.JDBCConfiguration],org.apache.openjpa.jdbc.schema.XMLSchemaSerializer.XMLSchemaSerializer/1[org.apache.openjpa.jdbc.conf.JDBCConfiguration],4,1,1,0,0,0,4,0,1211,0,0,0,false
0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDataSource/java.java,DelegatingDataSource/1[javax.sql.DataSource],org.apache.openjpa.lib.jdbc.DelegatingDataSource.DelegatingDataSource/1[javax.sql.DataSource],9,2,3,0,0,0,0,0,1137,1,1,0,false
1.2.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/SequenceMetaData/java.java,"appendProperty/3[java.lang.StringBuffer,java.lang.String,int]","org.apache.openjpa.meta.SequenceMetaData.appendProperty/3[java.lang.StringBuffer,java.lang.String,int]",5,3,0,0,0,1,1,0,1228,0,0,0,false
1.2.1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryTimeoutException/java.java,readObject/1[java.io.ObjectInputStream],org.apache.openjpa.persistence.QueryTimeoutException.readObject/1[java.io.ObjectInputStream],5,1,3,0,0,0,0,0,248,1,1,0,false
2.0.0-M1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/MaxEmbeddedByteArrayFieldStrategy/java/java.java,"load/3[org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore,org.apache.openjpa.jdbc.meta.JDBCFetchConfiguration]","org.apache.openjpa.jdbc.meta.FieldStrategy.load/3[org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.JDBCStore,org.apache.openjpa.jdbc.meta.JDBCFetchConfiguration]",1,1,0,0,0,0,1,0,1211,1,1,0,false
0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/validation/ValidatingLifecycleEventManager/java.java,removeListener/1[java.lang.Object],org.apache.openjpa.event.LifecycleEventManager.removeListener/1[java.lang.Object],14,6,2,0,0,2,3,1,160,1,1,2,false
1.0.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingSeq/java/java.java,"allocate/3[int,org.apache.openjpa.kernel.StoreContext,org.apache.openjpa.kernel.ClassMetaData]","org.apache.openjpa.kernel.DelegatingSeq.allocate/3[int,org.apache.openjpa.kernel.StoreContext,org.apache.openjpa.kernel.ClassMetaData]",8,2,0,0,1,0,0,1,1228,0,0,1,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery/java.java,"populateUnion/11[org.apache.openjpa.jdbc.sql.Union,org.apache.openjpa.jdbc.kernel.ClassMapping[],boolean,org.apache.openjpa.jdbc.kernel.ExpressionFactory[],org.apache.openjpa.jdbc.kernel.QueryExpressions[],org.apache.openjpa.jdbc.kernel.QueryExpressionsState[],org.apache.openjpa.jdbc.kernel.ExpContext,boolean,int,long,long]","org.apache.openjpa.jdbc.kernel.JDBCStoreQuery.populateUnion/11[org.apache.openjpa.jdbc.sql.Union,org.apache.openjpa.jdbc.kernel.ClassMapping[],boolean,org.apache.openjpa.jdbc.kernel.ExpressionFactory[],org.apache.openjpa.jdbc.kernel.QueryExpressions[],org.apache.openjpa.jdbc.kernel.QueryExpressionsState[],org.apache.openjpa.jdbc.kernel.ExpContext,boolean,int,long,long]",11,2,1,0,0,1,2,2,1211,3,3,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RelationId/java/java.java,"toRelationDataStoreValue/2[org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.Column]","org.apache.openjpa.jdbc.meta.RelationId.toRelationDataStoreValue/2[org.apache.openjpa.jdbc.meta.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.Column]",1,1,0,0,0,0,0,0,1211,0,0,0,false
0.9.0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/JDBCFetchPlanImpl/java.java,getReadLockMode/0,org.apache.openjpa.persistence.FetchPlanImpl.getReadLockMode/0,3,1,0,0,0,1,0,4,1209,0,0,0,false
0.9.7,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/OrExpression/java/java.java,"initialize/3[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.kernel.exps.ExpContext,java.util.Map]","org.apache.openjpa.jdbc.kernel.exps.OrExpression.initialize/3[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.kernel.exps.ExpContext,java.util.Map]",17,6,9,0,0,2,0,3,1211,0,0,0,false
1.1.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StoreCollectionFieldStrategy/java/java.java,"selectEagerJoin/5[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.meta.strats.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.strats.JDBCStore,org.apache.openjpa.jdbc.meta.strats.JDBCFetchConfiguration,int]","org.apache.openjpa.jdbc.meta.strats.StoreCollectionFieldStrategy.selectEagerJoin/5[org.apache.openjpa.jdbc.sql.Select,org.apache.openjpa.jdbc.meta.strats.OpenJPAStateManager,org.apache.openjpa.jdbc.meta.strats.JDBCStore,org.apache.openjpa.jdbc.meta.strats.JDBCFetchConfiguration,int]",5,3,2,0,0,0,0,2,1211,0,0,0,false
0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionaryFactory/java.java,"getFromSelect/2[org.apache.openjpa.jdbc.sql.Select,boolean]","org.apache.openjpa.jdbc.sql.DBDictionary.getFromSelect/2[org.apache.openjpa.jdbc.sql.Select,boolean]",8,2,1,0,0,1,4,5,1211,1,1,1,true
2.0.0-M2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GeneralCaseExpression/java.java,"load/3[org.apache.openjpa.jdbc.kernel.exps.ExpContext,org.apache.openjpa.jdbc.kernel.exps.ExpState,org.apache.openjpa.jdbc.kernel.exps.Result]","org.apache.openjpa.jdbc.kernel.exps.GeneralCaseExpression.load/3[org.apache.openjpa.jdbc.kernel.exps.ExpContext,org.apache.openjpa.jdbc.kernel.exps.ExpState,org.apache.openjpa.jdbc.kernel.exps.Result]",3,1,0,0,0,1,0,1,350,0,0,0,false
2.0.0-M1,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Param/java/java.java,getValue/0,org.apache.openjpa.jdbc.kernel.exps.Param.getValue/0,3,1,0,0,0,1,0,0,1228,0,0,0,false
0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/PluginValue/java.java,setClassName/1[java.lang.String],org.apache.openjpa.lib.conf.PluginValue.setClassName/1[java.lang.String],8,3,2,0,0,0,0,2,1137,0,0,0,false
2.0.0-M1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/EntityManagerImpl/java.java,EntityManagerImpl/0,org.apache.openjpa.persistence.EntityManagerImpl.EntityManagerImpl/0,2,1,0,0,0,0,0,0,1228,5,13,0,true
2.0.0-M2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder/java.java,setTarget/1[java.lang.String],org.apache.openjpa.jdbc.schema.Column.setTarget/1[java.lang.String],3,1,1,0,0,0,2,0,1211,0,0,0,false
1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl/java.java,"orderBy/5[java.lang.String,boolean,org.apache.openjpa.jdbc.sql.Joins,boolean,boolean]","org.apache.openjpa.jdbc.sql.SelectImpl.orderBy/5[java.lang.String,boolean,org.apache.openjpa.jdbc.sql.Joins,boolean,boolean]",3,1,0,0,0,1,2,2,1211,3,4,0,false
1.0.2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo/java/java.java,"createColumns/5[org.apache.openjpa.jdbc.meta.MetaDataContext,java.lang.String,org.apache.openjpa.jdbc.schema.Column[],org.apache.openjpa.jdbc.schema.Table,boolean]","org.apache.openjpa.jdbc.meta.MappingInfo.createColumns/5[org.apache.openjpa.jdbc.meta.MetaDataContext,java.lang.String,org.apache.openjpa.jdbc.schema.Column[],org.apache.openjpa.jdbc.schema.Table,boolean]",16,8,8,1,0,1,1,4,1211,0,0,3,false
0.9.6,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCState/java.java,nonprovisional/0,org.apache.openjpa.kernel.PCState.nonprovisional/0,3,1,0,0,0,1,0,0,1228,0,0,0,false
0.9.6,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingParser/java/java.java,newRepository/0,org.apache.openjpa.persistence.jdbc.XMLPersistenceMappingParser.newRepository/0,3,1,0,0,0,1,0,0,1211,3,5,0,false
1.0.3,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl/java.java,setConnectionFactoryName/1[java.lang.String],org.apache.openjpa.conf.OpenJPAConfigurationImpl.setConnectionFactoryName/1[java.lang.String],3,1,0,0,0,0,0,1,1228,6,12,0,false
1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask/java.java,getForeignKeys/0,org.apache.openjpa.jdbc.meta.MappingTool.getForeignKeys/0,3,1,0,0,0,1,2,0,1211,0,0,0,true
1.0.2,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractFieldStrategy/java/java.java,setFieldMapping/1[org.apache.openjpa.jdbc.meta.strats.FieldMapping],org.apache.openjpa.jdbc.meta.strats.AbstractFieldStrategy.setFieldMapping/1[org.apache.openjpa.jdbc.meta.strats.FieldMapping],3,1,1,0,0,0,0,0,1211,1,2,0,false
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery/java/java.java,"executeUnion/5[org.apache.openjpa.jdbc.kernel.Union,org.apache.openjpa.jdbc.kernel.ClassMapping[],org.apache.openjpa.kernel.exps.QueryExpressions[],java.util.BitSet[],org.apache.openjpa.jdbc.kernel.JDBCFetchConfiguration]","org.apache.openjpa.jdbc.kernel.JDBCStoreQuery.executeUnion/5[org.apache.openjpa.jdbc.kernel.Union,org.apache.openjpa.jdbc.kernel.ClassMapping[],org.apache.openjpa.kernel.exps.QueryExpressions[],java.util.BitSet[],org.apache.openjpa.jdbc.kernel.JDBCFetchConfiguration]",5,5,1,0,0,3,2,0,1211,3,3,0,false
