release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.0.0,isSpecialZnode,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,6,3,0,0,0,2,1,0,8,1,1,1,false
4.0.0,readPage,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,10,3,1,5,0,0,1,4,4,2,2,0,false
4.1.0,hashCode,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,3,1,0,0,0,1,0,2,196,2,2,0,false
4.0.0,getReplicaIndex,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,1,1,0,0,0,0,3,0,4,2,2,0,false
4.2.0,diskFailed,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,2,1,0,0,0,0,0,1,384,2,9,0,false
4.1.0,initiate,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,19,4,6,1,0,0,1,1,196,2,3,3,true
4.0.0,start,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,6,1,3,0,0,0,4,5,4,3,10,0,false
4.0.0,recoverLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,29,1,0,0,0,0,1,1,40,2,5,5,false
4.0.0,processPacket,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,1,1,0,0,0,0,1,0,4,3,7,0,false
4.1.0,setMessage,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,5,1,2,0,0,1,2,0,196,1,1,0,false
4.2.0,run,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,20,2,0,0,0,1,0,2,412,3,11,0,false
4.1.0,getManagerVersion,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,3,1,0,0,0,1,0,0,204,1,1,0,false
4.1.0,operationComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,30,5,2,3,2,4,0,1,196,1,2,4,false
4.0.0,toInt,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,8,2,0,2,0,2,4,0,4,2,3,0,false
4.1.0,getZkLedgersRootPath,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,3,1,0,0,0,1,1,0,225,2,2,0,false
4.2.0,verifyLedgerFragment,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java,20,4,4,0,0,1,1,2,154,1,3,0,false
4.0.0,getVersion,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,3,1,0,0,0,1,1,0,4,2,3,0,false
4.2.0,writeTopicPersistenceInfo,hedwig-server/src/main/java/org/apache/hedwig/server/meta/TopicPersistenceManager.java,1,1,0,0,0,0,0,0,191,1,1,0,false
4.1.0,removeLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,7,2,2,0,0,1,1,0,96,3,6,0,false
4.0.0,asyncGetLedgersInSingleNode,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,16,1,0,0,0,0,2,0,8,1,1,2,false
4.1.0,getZnodeVersion,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,3,1,0,0,0,1,1,0,196,3,5,0,false
4.1.0,makeObjectName,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,15,3,3,3,1,2,0,2,0,1,1,2,false
4.0.0,close,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,4,1,0,0,0,0,0,1,40,2,5,0,false
4.2.0,getZkRegionPrefix,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,3,1,0,0,0,1,3,2,412,3,12,0,false
4.1.0,accept,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,3,1,0,0,0,1,0,0,196,3,12,0,false
4.0.0,toString,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,3,1,0,0,0,1,0,0,4,3,8,0,false
4.0.0,getIsCallSuccessful,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,3,1,0,0,0,1,4,0,4,1,2,0,false
4.1.0,toString,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,31,17,1,10,0,1,0,2,196,1,1,5,false
4.0.0,unsubscribe,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,3,1,0,0,0,0,0,1,4,2,3,0,false
4.2.0,openLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,10,2,1,0,0,1,0,2,484,3,13,0,false
4.2.0,chooseThread,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,6,2,0,0,0,2,1,0,412,2,2,0,false
4.1.0,getPublishRequest,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,3,1,0,0,0,1,5,0,196,1,1,0,false
4.2.0,checkFragments,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java,17,4,1,0,1,1,2,3,154,1,3,0,false
4.1.0,setPublishRequest,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,8,2,2,0,0,1,1,0,196,1,1,0,false
4.1.0,handleAddResponse,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,30,7,6,3,0,1,1,1,196,3,10,0,false
4.2.0,startDelivery,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,3,1,0,0,0,0,1,1,412,2,9,0,false
4.2.0,getZkHostsPrefix,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,3,1,0,0,0,1,0,1,412,3,12,1,false
4.0.0,retryErroredSubscriberAfterDelay,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,6,2,0,0,0,0,2,1,4,2,3,0,false
4.0.0,isClosed,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,3,3,0,0,0,1,5,0,4,3,6,0,false
4.2.0,verify,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,16,11,3,3,0,0,1,1,398,2,3,4,false
4.2.0,getReadAheadEnabled,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,3,1,0,0,0,1,0,0,412,3,12,0,false
4.1.0,gc,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,8,2,0,0,1,0,0,1,196,3,12,1,false
4.2.0,getExitCode,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/AutoRecoveryMain.java,3,1,0,0,0,1,1,0,106,2,5,0,false
4.1.0,putIntoTable,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,8,2,2,0,0,0,3,0,84,3,6,0,true
4.2.0,isTargetBookieExistsInFragmentEnsemble,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationWorker.java,9,3,1,0,0,2,2,0,147,1,7,0,false
4.1.0,enqueueWithoutFailure,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,5,2,0,1,0,0,4,0,196,1,2,0,false
4.0.0,asyncCloseSubscription,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,26,3,4,2,0,0,2,3,4,1,3,2,false
4.1.0,checkPage,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,5,2,0,0,0,0,5,0,196,2,2,0,false
4.2.0,putLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/BookieLedgerIndexer.java,11,3,4,0,0,0,1,0,144,1,2,1,false
4.1.0,addCnxn,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,5,1,0,0,0,0,1,0,196,1,4,0,false
