release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.6,getChangeTracker,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyGregorianCalendar.java,3,1,0,0,0,1,0,0,185,1,1,0,false
2.0.0-M1,removeLoadedFields,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,3,4,2,0,0,0,1,0,957,2,7,1,false
0.9.7,serializeTable,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingSerializer.java,22,15,5,1,0,0,1,3,317,3,3,1,false
0.9.7,resolve,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,57,33,13,1,0,0,1,10,334,3,7,12,false
0.9.6,fetchObject,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,3,1,0,0,0,1,0,1,168,3,5,0,false
1.0.1,startsWith,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,3,2,0,0,0,1,2,0,529,2,3,0,false
2.0.0-M1,getManagedType,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,4,2,0,0,0,2,0,0,957,2,7,0,false
1.0.1,toProxyableCollectionType,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,9,5,2,0,0,1,1,1,529,2,3,4,false
1.2.1,setRootInstances,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingFetchConfiguration.java,9,2,0,0,1,1,0,2,1022,1,3,1,false
2.0.0-M2,newFieldProxy,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,16,8,3,0,0,5,2,1,1098,4,7,3,false
0.9.6,supportedOptions,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1,1,0,0,0,0,0,0,185,2,5,0,false
1.0.3,canSet,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java,6,4,0,0,0,4,2,0,768,1,1,0,false
1.0.0,newColumn,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java,5,2,1,0,0,1,0,0,440,1,1,1,false
2.0.0-M2,providedDoubleField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,3,1,0,0,0,0,0,0,1098,4,7,0,false
1.0.1,getTrackChanges,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,3,1,0,0,0,1,0,0,529,2,3,0,false
0.9.7,getClassLoader,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/MultiClassLoader.java,5,2,2,0,0,1,0,0,243,2,2,1,false
0.9.7,getFlushed,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,3,1,0,0,0,0,0,0,334,3,3,0,false
0.9.6,evalFromClause,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,15,8,8,0,0,1,1,4,185,3,9,2,false
2.0.0-M1,setInverseRelation,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,22,9,9,0,0,0,1,0,957,2,7,2,false
0.9.0,getCustomFetchGroups,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,7,6,2,0,0,1,0,2,45,3,10,0,false
1.0.3,open,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,6,1,3,0,0,0,1,0,785,2,2,0,false
0.9.6,replaceFlags,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager.java,3,1,0,0,0,0,0,0,185,2,5,0,false
2.0.0-M1,rollback,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,12,6,1,0,1,1,0,0,957,2,7,0,false
0.9.6,setSequence,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,4,1,0,0,0,0,0,1,185,3,10,0,false
0.9.6,getClassLoader,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,3,1,0,0,0,1,1,0,185,3,9,1,false
2.0.0-M2,appendIndex,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,5,2,1,0,0,0,0,0,1081,2,11,1,false
1.0.1,getFactoryProxyCalendar,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,11,3,5,0,0,1,2,3,529,2,3,0,false
0.9.7,getImplData,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,3,1,0,0,0,1,0,0,334,3,3,0,false
0.9.7,providedByteField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,3,1,0,0,0,0,0,0,334,3,3,0,false
0.9.0,clearPlaceholderSelects,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,3,1,0,0,0,0,0,1,37,2,6,0,false
