release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.0.0,setGcWaitTime,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,,4,1,0,0,0,1,0,0,18,2,3,0,false
4.0.0,hashCode,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,,3,1,0,0,0,1,0,2,4,2,2,0,false
4.0.0,refill,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,,25,6,7,2,1,2,3,3,4,1,2,2,false
4.0.0,operationComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,,8,2,0,0,0,0,0,12,4,2,11,1,false
4.0.0,getLedgerId,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,,3,1,0,0,0,1,0,0,4,1,2,0,false
4.0.0,handlePublishResponse,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,,18,5,0,3,0,0,1,4,4,1,3,1,false
4.0.0,operationComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,,8,2,0,0,0,0,0,12,4,2,8,0,false
4.0.0,getEntryOffset,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,,20,3,4,3,1,1,1,6,4,2,6,0,false
4.0.0,serialize,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,,18,5,1,1,0,1,2,1,4,3,6,0,false
4.0.0,lostTopic,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,,5,3,1,0,0,0,1,3,4,2,3,1,false
4.0.0,genDigest,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,,6,1,1,0,0,1,4,0,4,2,3,3,false
4.0.0,getAdditionalBookies,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,,22,5,2,0,0,2,2,1,4,1,3,0,false
4.0.0,isClean,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,,3,1,0,0,0,1,8,0,4,2,2,0,false
4.0.0,getSequence,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,,3,1,0,0,0,1,1,0,4,1,1,0,false
4.0.0,recoverLedgerFragmentEntry,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,,29,1,0,0,0,0,2,3,40,2,5,5,false
4.0.0,closeComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,,2,1,0,0,0,0,0,1,4,2,11,0,false
4.0.0,getAdditionalBookie,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,,3,1,0,0,0,1,1,1,4,1,3,0,false
4.0.0,getOwner,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,,3,1,0,0,0,0,5,2,4,2,3,0,false
4.0.0,recoverLedgerFragmentEntry,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,,27,1,0,0,0,0,1,3,4,2,5,5,false
4.0.0,read,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,,54,14,15,10,0,1,2,0,4,2,3,5,false
4.0.0,doGcLedgers,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,,13,1,0,0,0,0,1,2,4,2,8,1,false
4.0.0,isRunning,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,,3,1,0,0,0,1,0,2,4,3,10,0,false
4.0.0,makeSpace,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,,10,3,0,0,0,2,3,1,4,1,2,0,false
4.0.0,setJournalDirName,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,,4,1,0,0,0,1,2,0,18,2,3,0,false
4.0.0,enableRecoveryAdd,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,,4,1,1,0,0,1,1,0,4,2,3,0,false
4.0.0,safeRun,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,,7,2,1,1,0,0,0,24,4,3,8,0,false
4.0.0,printUsage,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,,4,1,1,1,0,0,1,0,4,3,10,0,false
4.0.0,isBookieRunning,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,,3,1,0,0,0,1,1,1,4,3,10,0,false
4.0.0,getEntryInputStream,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,,3,1,0,0,0,1,0,0,4,1,2,0,false
4.0.0,getRefCnt,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,,3,1,0,0,0,1,0,0,4,2,4,0,false
4.0.0,update,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,,3,1,0,0,0,0,0,0,4,1,1,0,false
4.0.0,addComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,,5,1,1,0,0,0,0,2,4,2,11,2,false
4.0.0,getLedgerId,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,,11,2,2,1,1,1,1,0,4,2,2,0,false
4.0.0,exceptionCaught,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,,4,1,0,0,0,0,0,0,4,1,4,1,false
4.0.0,run,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,,16,4,2,0,1,0,0,2,4,2,3,1,false
4.0.0,isFenced,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,,3,1,0,0,0,1,1,0,4,2,4,0,false
4.0.0,getServerTcpNoDelay,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,,3,1,0,0,0,1,1,0,18,2,3,0,false
4.0.0,setLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,,3,1,1,0,0,0,2,0,4,2,2,0,false
4.0.0,getLh,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,,3,1,0,0,0,1,3,0,4,1,1,0,false
4.0.0,getZkTimeout,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,,3,1,0,0,0,1,2,0,18,2,3,0,false
4.0.0,setZkTimeout,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,,4,1,0,0,0,1,0,0,18,2,3,0,false
4.0.0,addToLength,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,,4,1,1,0,0,1,2,0,4,2,11,0,false
4.0.0,getIsCallSuccessful,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,,3,1,0,0,0,1,5,0,4,1,2,0,false
4.0.0,nop,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,,3,1,0,0,0,1,2,0,4,2,3,0,false
4.0.0,toString,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,,8,1,1,0,0,1,0,0,4,2,3,0,false
4.0.0,run,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,,5,2,0,1,0,0,0,5,4,1,3,0,false
4.0.0,safeRun,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,,3,1,0,0,0,0,0,24,4,1,3,0,false
4.0.0,getAvailablePermits,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,,3,1,0,0,0,1,0,0,4,2,11,0,false
4.0.0,size,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,,7,2,2,1,0,1,2,1,4,2,4,0,false
4.0.0,getClientTcpNoDelay,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,,3,1,0,0,0,1,1,0,18,2,3,0,false
