release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.0,createStatement,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,3,1,0,0,0,1,0,2,37,3,9,0,false
0.9.0,getTransactionalObjects,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StoreContext.java,1,1,0,0,0,0,1,0,45,3,6,0,false
0.9.0,isAllowedTable,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java,22,14,6,0,0,7,2,0,37,1,2,2,false
0.9.0,isDirty,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCState.java,3,1,0,0,0,1,3,0,45,1,4,0,false
0.9.0,close,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java,6,2,1,0,0,0,1,0,37,2,2,0,false
0.9.0,getClassMapping,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValueImpl.java,3,2,0,0,0,1,0,2,37,2,2,0,false
0.9.0,wrap,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/LoggingConnectionDecorator.java,4,2,0,0,0,2,7,1,0,1,8,0,false
0.9.0,setConnectionFactoryMode,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,4,1,0,0,0,0,0,2,45,3,13,0,false
0.9.0,setValidate,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,3,1,1,0,0,0,2,0,45,3,8,0,false
0.9.0,supportsMixedCaseQuotedIdentifiers,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData.java,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,close,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,commit,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCState.java,3,1,0,0,0,1,1,0,45,1,4,0,false
0.9.0,getFields,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchPlan.java,3,1,0,0,0,1,0,0,45,2,5,0,false
0.9.0,getProjectionAliases,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractStoreQuery.java,3,1,0,0,0,1,0,0,45,2,4,0,false
0.9.0,isNull,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareEqualExpression.java,6,4,1,0,0,3,2,1,37,2,3,0,false
0.9.0,getSourceName,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/XMLMetaDataParser.java,3,1,0,0,0,1,9,0,0,2,9,0,false
0.9.0,startCDATA,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/XMLMetaDataParser.java,3,2,0,0,0,0,0,1,0,2,9,0,false
0.9.0,orderBy,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java,3,1,0,0,0,1,0,2,37,2,4,0,false
